aafb 工地
nnrb 屡屡提出
nnbp 书院
nnbp 恪尽职守
nnbt 㦑
nnbv 局限
npfb 发祥地
npqb 惋
nqdb 恑
nqjb 惸
nqrb 恟
nqbt 㥮
nrbh 忷
nrbt 惾
nrbt 翪
ntfb 屘
ntgb 以身殉职
ntrb 发报
ntvb 㦢
ntb 悸
ntbc 履行职能
ntbd 尾随
ntbg 悸
ntbg 履行职责
ntbh 邲
ntbi 发函
ntbm 发出
ntbb 性子
nudb 惓
nubg 悦耳
nubu 屏障
nweb 鄝
nwvb 恰好
nwb 怆
nwbn 怆
nxbg 㥝
nyfb 心地
nykb 悙
nykb 惇
nyrb 恼
nybk 尽职
nybw 惊险
nyby 以防
nybb 尺子
nb 敢
nbax 避孕药
nbc 慑
nbcc 慑
nbct 发出通知
nbd 㞌
nbde 憜
nbdf 屈辱
nbdi 以防不测
nbdj 憨厚
nbdp 层出不穷
nbdy 憨态
nben 㦩
nbeb 屈服
nbfk 悦耳动听
nbfn 聼
nbgf 敢于
nbgg 以防万一
nbh 邔
nbh 䣁
nbkg 㥛
nbm 屈
nbmh 㤕
nbmk 屈
nbmo 鶌
nbn 忚
nbnd 屈居
nbng 尽职尽责
nbnn 㤴
nbnn 䎎
nbnt 局限性
nbrs 敢打
nbsk 屙
nbte 饏
nbtg 㦕
nbtn 憨
nbty 敢
nbww 屈从
nbyu 敢说
nbbb 孱
nbbb 懾
oamb 鄺
oabb 炎黄子孙
odjb 㷞
odbj 庆阳
oebg 烰
oebg 粰
ofpb 㶿
oftb 庨
ogub 凿
ogub 鄴
ogbh 邺
ogbn 炖
ogbn 庉
oibd 应承
oibm 应聘
ojfb 鄽
ojbc 熶
okbs 火中取栗
onjb 鄜
onjb 麛
onvb 断奶
onbm 煀
onbw 废除
oopb 
oobg 㷥
oobh 郯
oobt 糭
opqb 焥
oqab 粼
oqab 鄰
oqab 䣌
oqgb 炮击
oqtb 㡻
oqtb 㶯
oqbt 煼
oqbb 底子
orbt 糉
orbb 烂摊子
otvb 㸅
otbn 炧
otbn 粚
otbp 庭院
oudb 䊎
ougb 康普顿
oukb 廍
oubt 㡿
ouby 断章取义
oubb 粒子
oveb 鄘
ovhb 鄌
ovpb 数字
owyb 㷪
owbn 炝
oykb 廓
oykb 焞
oyvb 廊
oywb 粮仓
oybb 炉子
ob 籽
obfn 廰
obg 籽
obgn 廳
obh 邝
obh 邩
obmh 炪
obn 灺
obsk 㢌
obwc 廕
obxv 鬯
obbb 㸎
patb 赛季
pawb 寋
pabv 宽限
pabb 寨子
pftb 宯
pfvb 完好
pfbg 守卫
pfbn 完了
pgfb 宝地
pgpb 写字
pgbj 富阳
pgbm 写出
pgbn 写了
phbk 官职
pjyb 鄍
pleb 军服
plb 郓
plbh 郓
plbh 鄆
plbw 军队
pobw 穿凿附会
ppjb 之最
ppvb 空空如也
ppbf 之际
ppbu 宾客盈门
pqnb 冤屈
pqb 宛
pqbg 鹓
pqbh 邥
pqbj 剜
pqbj 䗕
pqbn 惌
pqbo 鵷
pqbo 䵫
pqbv 宛
pryb 宣誓就职
ptdb 官复原职
pteb 客服
ptbw 军乐队
ptbw 客队
pudb 袸
pueb 被服
pufb 实地
pupb 䘼
putb 袘
puub 裷
puwb 初创
pubf 实际
pubm 袦
pubn 衪
pubb 裤子
pubb 裙子
pubb 被子
pubb 襵
pubb 䘶
pvgb 安顿
pvbh 䢿
pvbj 安阳
pvbb 案子
pwab 䇀
pwfb 空地
pwfb 窙
pwgb 突击
pwgb 祸从天降
pwjb 穷日子
pwqb 窌
pwtb 穿透
pwyb 㝦
pwb 窿
pwbc 窃取
pwbg 窿
pwbi 空隙
pwbm 突出
pwbm 窋
pwbn 穿孔
pwbt 空降
pwbw 宣传队
pwby 空防
pwbb 空子
pwbb 窷
pyab 礼节
pyeb 礼服
pyqb 祪
pyb 祁
pybh 祁
pybi 祖孙
pybn 祂
pybt 礽
pb 字
pbaj 字幕
pbao 初出茅庐
pbab 字节
pbcu 冣
pbcu 㝡
pbdm 字面
pbf 字
pbga 字形
pbgl 字画
pbhg 实际上
pbhv 字眼
pbj 㝋
pbkg 字号
pbma 字典
pbmc 㝮
pbqk 字句
pbrg 空降兵
pbri 神出鬼没
pbsu 字样
pbsv 字根
pbtg 㝫
pbtw 字符
pbuj 字音
pbws 字体
pbxn 字母
pbyo 字迹
qahb 铘
qahb 鋣
qapb 错字
qayb 邸
qabm 名落孙山
qabb 钳子
qcab 狂欢节
qdeb 猝不及防
qdfb 铤而走险
qdhb 銌
qdhb 䥹
qdtb 䦁
qdb 危
qdbc 㩻
qdbm 頠
qdbn 鈪
qdbv 危
qdbw 危险
qdbb 䣀
qehb 觤
qebg 鋢
qebk 解职
qebm 解聘
qebw 解除
qfpb 鋍
qftb 﨧
qfbn 针孔
qfbw 钻井队
qgqb 䲟
qgvb 鲫
qgwb 䲝
qgb 钝
qgbc 鲰
qgbh 印
qgbn 钝
qgbn 鈍
qhfb 外地
qhbh 鑡
qhbi 外孙
qhbm 外出
qhbn 钻孔
qibi 急流险滩
qjbf 㝁
qjbh 郇
qkpb 名字
qkpb 错别字
qkxb 酁
qkbg 鍓
qkbh 邭
qkbk 免职
qkbw 免除
qkbb 兔子
qmbf 铜陵
qnfb 饽
qngb 邬
qnbg 饵
qnbm 饳
qnbb 饺子
qnbb 包子
qoeb 䱐
qoqb 鮠
qoqb 鮣
qotb 鯚
qotb 䰿
qotb 䲙
qoub 䱧
qovb 鯽
qoxb 鱜
qoyb 鯙
qoyb 䱶
qobc 鯫
qobe 䲊
qobg 䰵
qobl 鯭
qobn 鮿
qobt 鑁
qobb 䱆
qpqb 鋺
qpbq 鳏寡孤独
qpbb 钻空子
qqdb 䤥
qqtb 铆
qqtb 鉚
qqvb 多好
qqbh 卶
qqbh 䤝
qqbn 多孔
qqbb 金子
qrb 匈
qrbe 胷
qrbk 匈
qrbt 鍐
qsab 䥮
qsbb 钉子
qtfb 㹲
qtrb 䥏
qttb 狏
qtvb 卿
qtwb 独创
qtb 犯
qtbg 㺦
qtbh 卯
qtbi 狲
qtbi 儿孙
qtbi 猻
qtbj 夕阳
qtbj 㺈
qtbl 猛
qtbn 犯
qtbn 乮
qtbn 犼
qtbn 鉇
qtbt 锈
qtbt 銹
qtbu 狭隘
qtbv 独生子女
qtbb 儿子
qtbb 狮子
qtbb 猴子
qtbb 锤子
qtbb 独生子
quab 儿童节
qudb 锩
qudb 錈
qufb 锐意进取
qube 鎙
qubw 铲除
qubb 镜子
qvwb 争创
qvb 邹
qvbc 争取
qvbh 邹
qwpb 铅字
qwyb 镌
qwyb 鎸
qykb 錞
qytb 孵
qytb 鍦
qyvb 鄮
qyvb 鎯
qb 迎
qbc 镊
qbcc 镊
qbco 駌
qbcy 鋷
qbdm 迎面
qbdw 迎春
qbfr 负隅顽抗
qbg 铒
qbg 釨
qbg 鉺
qbgo 迎来
qbgy 㼝
qbh 钌
qbh 卬
qbh 夘
qbh 邜
qbh 釕
qbhf 眢
qbhj 䥀
qbhk 迎战
qbib 䤴
qbjn 狼子野心
qbjr 鐊
qbju 䖤
qbl 锰
qblf 盌
qblf 㽜
qblg 锰
qblg 錳
qbmh 鈯
qbmh 㠾
qbn 怨
qbn 夗
qbn 釶
qbnf 独出心裁
qbnn 銸
qbnu 怨
qbp 迎
qbpk 迎
qbpr 迎宾
qbq 鸳
qbqg 鸳
qbrn 怨气
qbru 迎接
qbsk 锕
qbsk 錒
qbt 釢
qbtc 皺
qbto 鶵
qbtt 芻
qbtw 㱀
qbty 雛
qbtb 鄒
qbud 迎送
qbue 䥙
qbug 迎着
qbus 迎新
qbvf 妴
qbvv 外孙女
qbwa 留职停薪
qbwg 迎合
qbwh 迎候
qbwo 鴛
qbwr 迎风
qbws 独联体
qbyn 钉子户
qbyy 怨言
qbbh 鎁
qbbb 鑷
radb 打基础
rahb 捓
rabc 捞取
rabg 搑
rabm 找出
rcgb 反击
rcbq 杀鸡取卵
rcbb 摊子
rcbb 瓜子
rcbb 把子
rdab 拔节
rdcb 郄
rdcb 㕁
rdeb 郩
rdfb 所在地
rdfb 䣗
rdhb 拵
rdmb 郗
rdtb 挷
rdb 扼
rdbn 扼
rdbt 敎
refb 揺
rerb 㩭
rebg 捊
rebb 拉肚子
rffb 质地
rfpb 挬
rfyb 扭亏为盈
rfbk 挂职
rfbm 挂出
rfbb 质子
rggb 抨击
rggb 搏击
rgkb 郈
rgrb 捷报
rgb 邱
rgbc 卮
rgbf 丘陵
rgbg 后卫
rgbh 邱
rgbj 岳阳
rgbn 扽
rgbp 后院
rgbt 探囊取物
rhab 年节
rhrb 看报
rhrb 年报
rhvb 看好
rhb 卸
rhbc 攫取
rhbh 卸
rhbh 䣃
rhbm 看出
rhbm 排出
rhbv 年限
rhbw 排除
rhbw 排队
rhbw 掉队
rigb 打游击
ribh 邾
ribh 热泪盈眶
rjrb 打电报
rjb 撮
rjbc 提取
rjbc 撮
rjbg 捍卫
rjbm 提出
rjbb 担子
rkb 揖
rkbg 揖
rkbw 扣除
rkby 擑
rkbb 扣子
rlgb 鄦
rmeb 制服
rmwb 㩗
rmbc 抽取
rmbh 缷
rmbm 抽出
rmbq 缺陷
rmbb 罐子
rnab 气节
rngb 挪
rnub 所闻
rnbm 掘
rnbm 拟出
rnbn 气孔
rnbr 氖
rnbt 撖
rpqb 捥
rpub 近闻
rpbm 挖出
rpbt 迫降
rpbw 探险
rqdb 㧪
rqqb 抱怨
rqtb 㧕
rqb 抑
rqbc 换取
rqbh 抑
rqbm 掏出
rqbt 搊
rqbu 挽联
rqbb 鬼子
rreb 折服
rrhb 披挂上阵
rrpb 白字
rrpb 拆字
rrrb 拍摄
rrvb 抓好
rrwb 摇摇欲坠
rrbt 㨑
rrbw 拆除
rrbw 拉拉队
rrbb 鬼鬼祟祟
rsgb 打击
rspb 打字
rsvb 打好
rsba 投机取巧
rsbo 护林防火
rtdb 挺身而出
rtfb 郫
rtub 投入产出
rtvb 挺好
rtvb 擳
rtb 拖
rtbm 播出
rtbm 看得出
rtbn 拖
rtbp 逰
rtbw 插队
ruab 拉萨
rudb 掷
rudb 捲
rufb 接地
rugb 撞击
rusb 擲
rube 搠
rvcb 揤
rvfb 扫地
rvbm 招聘
rvbm 抛出
rvbw 扫除
rwfb 失地
rwgb 掵
rwyb 携
rwb 抢
rwbc 拾取
rwbh 掩人耳目
rwbk 失职
rwbm 推出
rwbn 抢
rwbt 投降
rwbw 抢险
rwbw 担风险
rxbh 卽
rxbj 皍
rxbm 指出
rygb 抗击
rykb 㧸
rykb 㨃
rykb 㨯
rytb 揓
ryvb 搞好
rybc 摘取
rybg 护卫
rybk 撤职
rybm 撤出
rybw 摘除
rybw 撤除
rb 报
rbaq 报警
rbc 报
rbcc 摄
rbcl 㨕
rbcy 报
rbcy 掫
rbde 撱
rbfj 报刊
rbfk 报喜
rbfl 报载
rbft 报考
rbg 挕
rbgc 报到
rbge 报表
rbgh 扔下
rbgi 拯救
rbgp 抢险救灾
rbgq 凶残
rbh 邤
rbh 㧄
rbi 拯
rbia 扬子江
rbig 拯
rbit 拙劣
rbiy 摂
rbjf 报时
rbjy 摄影
rbk 凶
rbkk 凶器
rblg 报国
rblg 掹
rblw 报界
rbm 拙
rbmh 拙
rbn 扡
rbnh 报收
rbnj 凶悍
rbnn 排除异己
rbny 报以
rbog 报业
rbon 报废
rbov 报数
rbpv 报案
rbpy 报社
rbqa 摄氏
rbqe 据了解
rbqi 报销
rbqk 报名
rbqt 凶猛
rbqt 凶狠
rbqt 凶犯
rbqv 兇
rbra 提职提薪
rbrc 报摊
rbre 抓耳挠腮
rbrh 扔掉
rbrh 看了看
rbrm 摄制
rbrs 凶杀
rbrt 凶手
rbrx 报批
rbsg 报酬
rbsp 摘取桂冠
rbsy 挅
rbt 扔
rbte 护卫舰
rbtf 报告
rbti 搎
rbtj 报复
rbtu 报税
rbtw 报答
rbud 报关
rbud 报送
rbud 报头
rbuj 报章
rbuq 掩耳盗铃
rbut 报道
rbwi 报偿
rbwq 摄像
rbwt 㚇
rbwv 报仇
rbww 报价
rbww 报人
rbwy 报信
rbxq 报纸
rbyg 报请
rbyw 报效
rbbc 摄取
rbbh 揶
rbbu 推陈出新
rbbw 凶险
rbbb 攝
sahb 㭨
sab 栉
sabg 榵
sabh 栉
sabh 桏
sabb 棋子
sabb 柜子
scab 树荫
scbv 权限
scbb 橘子
sdeb 㮋
sdhb 栫
sdtb 梆
sdbn 枙
sdbb 椅子
sdbb 杯子
serb 㰒
sevb 极好
sebc 棴
sebg 桴
sebv 极限
sfpb 桲
sftb 㭳
sfbh 鄄
sfbb 村子
sfbb 票子
sfbb 杆子
sgab 䤊
sgeb 西服
sgeb 酻
sgfb 酵
sgfb 本地
sgrb 酗
sgrb 本报
sgyb 醇
sgbe 梗阻
sgbg 䣵
sgbk 本职
sgbn 酏
sgbn 醒了
sgbn 杶
sgbw 本队
shbd 相随
shbg 相隔
shbm 想出
sjqb 㭿
sjbc 樶
sjbm 查出
sjbb 棍子
skvb 可好
skb 楫
skbc 可取
skbg 楫
skbh 可耻
skby 檝
smbb 票贩子
sngb 梛
snbm 㭾
snbt 橄
snbb 樼
sobm 杰出
sobt 㯶
spqb 椀
sqdb 桅
sqsb 桃李
sqtb 柳
sqbh 枊
sqbh 栁
sqbh 桞
sqbt 㮲
srgb 栀
srrb 板报
srbt 椶
srbb 板子
ssfb 林地
ssb 郴
ssbc 樷
ssbh 郴
ssbb 林子
stib 桥涵
stvb 櫛
stbn 柂
stbb 格子
sudb 棬
sube 㮶
subw 梯队
subb 样子
subb 西门子
svcb 楖
svfb 要地
svub 要闻
svvb 要好
svbk 要职
svbw 根除
svbb 根子
swgb 枪击
swgb 椧
swgb 楡
swib 厀
swib 䣛
swwb 郲
swwb 㮝
swwb 䴸
swxb 松弛
swyb 槜
swb 枪
swbj 枞阳
swbn 枪
sykb 椁
sykb 梈
sykb 槨
sytb 椸
syvb 榔
sybk 述职
sybb 柱子
sb 李
sbcl 楹
sbcy 棷
sbd 椭
sbde 椭
sbde 橢
sbdp 㰐
sbee 李鹏
sbf 李
sbg 杍
sbg 栮
sbgg 椭球
sbgi 樄
sbh 邒
sbh 䢶
sbib 㮀
sbkg 極
sbkg 檉
sblk 椭圆
sbmh 柮
sbn 杝
sbnn 㭯
sbsy 桗
sbt 㭁
sbti 槂
sbuk 㯁
sbwy 椭偏
sbb 椰
sbbh 椰
sbbb 欇
tabg 穁
tabj 筇
tabj 长阳
tabj 笻
tabt 升降
tabw 长队
tabb 长子
tcbn 私了
tdgb 入不敷出
tdkb 聟
tdbh 䢴
tdbk 辞职
tdbl 矩阵
tdbm 䂐
tdbb 笼子
tdbb 丢面子
teeb 艀
tepb 䑱
tetb 䑨
tewb 舱
teyb 䑻
tebc 箙
tebf 筟
tebg 稃
tebh 郍
tebh 䑠
tebl 艋
tebw 舰队
tebw 船队
tebb 盘子
tebb 稻子
tfab 郵
tffb 特地
tfkb 郜
tfnb 㲌
tfpb 㹀
tfqb 酂
tfqb 酇
tfqb 䢾
tfvb 选好
tfbc 选取
tfbj 德阳
tfbm 选出
tfbm 选聘
tfbm 迁出
tfbm 特聘
tfbn 毛孔
tgab 第一节
tgeb 征服
tgfb 重地
tggb 牛顿
tgib 物理学院
tgrb 行凶
tgsb 行李
tgvb 牛奶
tgwb 重创
tgbd 秉承
tgbj 重阳
tgbq 熏陶
tgbw 篮球队
tgbb 重子
thdb 篹
thdb 鄓
thnb 鄎
thpb 郔
thsb 臲
thwb 自创
thbc 自取
thbg 自卫
thbh 郋
thbm 算出
thbn 鼻孔
thbn 算了
thbb 牌子
thbb 鼻子
thbb 片子
thbb 竹子
tiab 复活节
tivb 稍好
tibv 笵
tibv 筂
tibb 臭小子
tjeb 馟
tjfb 适时地
tjfb 馞
tjvb 利好
tjbc 穝
tjbi 复函
tjbi 忁
tjbm 得出
tjbm 复出
tjbm 䭯
tjbn 得了
tjbb 微电子
tjbb 篮子
tkfb 各地
tkfb 种地
tkmb 鄅
tkqb 积怨
tkvb 和好
tkbc 积聚
tkbf 箿
tkbg 㣬
tkbw 各队
tkbw 先遣队
tkbb 种子
tlvb 备好
tlbg 衈
tlbh 卹
tlbh 䘏
tlbv 範
tlby 血防
tmgb 射击
tmtb 咎由自取
tmbj 向阳
tmbj 射阳
tmbb 身子
tmbb 筒子
tnab 各司其职
tnob 物以类聚
tnsb 身居要职
tnbf 乐陵
tnbw 乐队
tnbb 筷子
tolb 鄱
totb 秋季
tobf 䎹
tobh 䣋
tpqb 箢
tpvb 管好
tpbg 牸
tpbb 管子
tqjb 箰
tqtb 笷
tqbf 自负盈亏
tqbj 衡阳
tqbk 称职
tqbp 物院
tqbt 犓
tqbt 篘
tqbt 䅳
tqbw 先锋队
trhb 御
trkb 䉗
trmb 乱扣帽子
trbp 我院
trbt 稯
trbt 㣭
trbt 䈦
tsrb 笨拙
tsbb 箱子
tsbb 条子
ttrb 和盘托出
ttrb 篽
tttb 秋冬季
ttbi 生物防治
ttbn 㸱
ttbt 䅎
ttbb 牛鼻子
tudb 犈
tudb 箞
tudb 䅚
tuib 生意兴隆
tukb 篰
tuob 身兼数职
turb 简报
tutb 冬季
tubg 简陋
tubw 乘除
tvcb 節
tvnb 委屈
tvtb 逶迤
tvvb 很好
twpb 签字
twpb 繁体字
twpb 简体字
twpb 简化字
twwb 聳
twbe 稳住阵脚
twbj 自作聪明
txbg 每隔
txbw 入乡随俗
tykb 犉
tykb 稕
tytb 箷
tybg 入耳
tybk 自谋出路
tybm 㒴
tybo 自谋职业
tybb 稿子
tb 秀
tbab 季节
tbcu 箃
tbdi 向隅而泣
tbdm 頺
tbf 季
tbf 䇯
tbfc 透支
tbfj 季刊
tbfk 透露
tbfp 透过
tbft 秀才
tbft 䉄
tbfu 入出境
tbg 秄
tbgm 秀丽
tbgt 稍逊一筹
tbh 䄦
tbig 透光
tbig 䇰
tbio 篜
tbib 䈄
tbje 透明
tbmj 笜
tbmm 秀山
tbn 彵
tbn 牠
tbn 䄬
tboa 季度
tbp 透
tbpc 迤
tbpe 透
tbpy 透视
tbqu 透镜
tbr 秀
tbrf 各取所需
tbrn 透气
tbrn 秀气
tbry 箛
tbsy 各院校
tbt 䄧
tbta 透彻
tbtm 透射
tbtb 徒子徒孙
tbue 䉌
tbug 秀美
tbug 透着
tbv 竾
tbv 㐌
tbve 䈨
tbwc 䉁
tbwi 篨
tbwr 季风
tbwr 透风
tbyk 透亮
tbyu 笈
uarb 并报
uabh 郱
uabu 并联
uabb 瓶子
ucbw 新台阶
udab 关节
udgb 拳击
udhb 齤
udb 卷
udbe 勌
udbg 新大陆
udbg 次大陆
udbh 郑
udbu 关联
udbv 卷
udbb 辫子
uegb 聾
uerb 剪报
uebg 前卫
ufcb 㾡
uftb 痚
ufwb 养老保险
ufbm 总支出
ufbx 并未了结
ugab 齹
ugfb 新天地
ugqb 䍯
ugtb 䣡
ugub 鄯
ugvb 美好
ugbg 着陆
ugbh 羞耻
ugbb 盖子
uhbb 半辈子
ujab 章节
ujab 音节
ujfb 鄣
ujfb 䪬
ujbg 间隔
ujbi 间隙
ujbm 韷
ujbn 䪧
ukgb 冲击
uksb 立足本职
ukvb 问好
ukb 部
ukbf 前哨阵地
ukbh 部
ukbm 冲出
ukbm 竞聘
ukbp 半路出家
ukbw 部队
ukbw 总队
ukbb 新路子
uljb 鄫
ulpb 单字
ulub 装甲部队
ulb 郸
ulbh 郸
ulbb 单子
unbm 决出
unbt 阚
unbt 闞
uobp 普陀
uobt 普降
uqbf 养儿防老
uqbb 冲锋陷阵
urvb 新年好
usgb 鄭
uslb 资本输出
ustb 新秀
usub 新闻
uswb 新创
usbq 闲聊
usbb 亲子
utab 端午节
utfb 产地
utvb 癤
utwb 首创
utwb 产仔
utbc 亲自出马
utbd 痵
utbm 产出
utbw 首阶
uudb 闂
uubr 新闻联播
uubw 阙
uubw 瘚
uubw 闕
uubx 资产阶级
uvdb 兼顾
uvbk 兼职
uwb 疮
uwbc 疮
uwbj 益阳
uxeb 鄁
uxtb 䦳
uxxb 孳
uxbc 凝聚
uxbh 邶
uxbl 凝聚力
uxbb 弟子
uykb 䇏
uyvb 㾿
uybg 门卫
ub 闻
ubd 闻
ubd 聞
ubdf 普降大雨
ube 疓
uben 癮
ubey 塑胶
ubff 普降喜雨
ubfj 兼职教师
ubfn 闻声
ubfu 逆境
ubgf 普降瑞雪
ubhm 竞聘上岗
ubif 疗法
ubiy 逆流
ubj 兯
ubk 疗
ubk 疖
ublf 逆转
ubmk 㽾
ubnt 塑性
ubou 塑料
ubpq 立陶宛
ubpy 美联社
ubq 瘾
ubqk 闻名
ubqn 瘾
ubqu 决出名次
ubsk 痾
ubt 塑
ubtd 闻知
ubte 朔
ubtf 塑
ubtf 塑造
ubtg 癃
ubtk 疗程
ubtm 逆向
ubtn 愬
ubtp 逆
ubtp 遡
ubtr 屰
ubts 槊
ubtw 欮
ubuf 疗养
ubug 凝聚着
ubug 逆差
ubwc 癊
ubwd 新阶段
ubwq 塑像
ubws 㾻
ubwy 新陈代谢
ubwy 美联储
ubyn 闻讯
ubyo 逆变
ubyt 朔州
ubyw 疗效
vakb 鄩
vabg 媶
vckb 怒吼
vcb 即
vcbf 孥
vcbf 堲
vcbh 即
vcbo 䳭
vebg 娐
vebk 退职
vebm 退出
vebb 嫂子
vflb 畵
vfpb 㛘
vfxb 如雷贯耳
vfbb 妹子
vglb 婳
vgbp 建院
vibc 录取
vjsb 鄛
vjbb 好日子
vkb 邵
vkbh 邵
vkbh 卲
vkbi 綤
vkbj 邵阳
vlbh 䣎
vngb 娜
vnbt 㜟
vnbb 刀子
vpab 建军节
vpqb 婉
vqdb 姽
vqtb 㚹
vqbt 媰
vtkb 郡
vtbt 㛢
vtbb 君子
vudb 婘
vvab 妇女节
vvbu 妇联
vvbw 女队
vvby 女孩
vvbb 女子
vwgb 婾
vyvb 嫏
vb 好
vbca 好戏
vbcy 娵
vbdc 好友
vbde 嫷
vbdg 好感
vbdh 好在
vbdh 好不
vbds 好奇
vbeh 好用
vbf 㜽
vbfc 好运
vbfd 好坏
vbfp 好过
vbg 好
vbg 㛅
vbgf 好玩
vbgg 好球
vbgk 好事
vbgl 如出一辙
vbgo 好恶
vbgq 好歹
vbh 邚
vbhj 媸
vbhk 好战
vbhx 好些
vbic 好汉
vbim 奶油
vbip 好学
vbkr 好听
vbkt 好吃
vblf 好转
vblw 好办
vbn 她
vbnn 好书
vbnu 恏
vbny 好心
vbow 奶粉
vbpl 娘子军
vbpt 好客
vbqk 好象
vbqq 好多
vbqy 好久
vbrh 好看
vbrq 好的
vbrt 好手
vbsk 婀
vbsy 㛆
vbt 奶
vbta 好长
vbtg 奶牛
vbtg 好生
vbth 好处
vbtt 好笑
vbuj 好意
vbvb 奶奶
vbvb 好好
vbwg 好使
vbwn 好似
vbwq 好像
vbwu 她们
vbww 好人
vbxt 妇孺皆知
vbxx 好比
vbyg 好评
vbyt 好话
vbyu 好说
vbbg 㚺
wawb 䣏
wabg 傇
wabk 供职
wabb 袋子
wcrb 公报
wctb 俊秀
wcbj 凤阳
wcbk 公职
wcbv 仅限
wcbb 公子
wdgb 华盛顿
wdgb 伏击
wdhb 侟
wdtb 优秀
wdvb 做好
wdbm 做出
wdbn 伌
web 俘
webg 俘
wfab 佳节
wfcb 郐
wfcb 㑢
wfeb 舒服
wffb 风雨无阻
wfhb 人才辈出
wfpb 侼
wftb 侾
wfub 传闻
wfwb 凡夫俗子
wfbc 会聚
wfbm 付出
wfbm 传出
wfbw 人才出众
wgab 使节
wgdb 从天而降
wgdb 鄈
wgeb 兪
wgeb 鄃
wgfb 余地
wgkb 命
wgkb 郃
wgkb 鄧
wglb 鄶
wgrb 登报
wgsb 厁
wgsb 䣄
wgbg 登陆
wgbm 使出
wgbm 拿出
wgbn 伅
wgbw 代表队
wgbw 全队
wgbb 例子
wgbb 盒子
wgbb 鸽子
wgbb 凳子
wgbb 侄子
whvb 修好
whbb 个子
wjbm 伸出
wjbb 介子
wkbg 保卫
wkbg 偮
wkbu 保障
wkbw 保险
wmbw 登山队
wngb 追击
wngb 鄔
wngb 㑚
wntb 鄇
wnb 倔
wnbd 追随
wnbj 阜阳
wnbm 倔
wnbt 㒈
wnbb 僝
wobt 儍
wpqb 倇
wpbl 保家卫国
wpby 信守承诺
wqdb 佹
wqfb 低地
wqvb 你好
wqvb 您好
wqb 仰
wqbh 仰
wqbt 㑳
wrb 爷
wrbj 爷
wrbm 他指出
wrbq 仓皇出逃
wrbw 风险
wrbw 体操队
wrbb 父子
wrbb 爺
wsbb 命根子
wttb 作秀
wtbg 㑧
wtbk 任职
wtbm 作出
wtbm 作祟
wtbn 作了
wtbb 傻子
wudb 倦
wumb 俯首帖耳
wubd 伴随
wubb 位子
wvcb 㑡
wvfb 盆地
wvgb 鄡
wvgb 鄥
wvgb 䳃
wvbf 倾巢出动
wvbg 分隔
wvbh 邠
wvbp 分院
wvbw 分队
wvbb 分子
wweb 佩服
wwfb 谷地
wwgb 偸
wwkb 卻
wwkb 郤
wwyb 㑺
wwb 耸
wwbf 耸
wwbf 人际
wwbn 伧
wwbw 仪仗队
wwby 人防
wwbb 谷子
wxub 化疗
wycb 邻
wydb 分文不取
wyeb 信服
wyfb 领地
wyfb 住地
wyfb 餑
wygb 停顿
wymb 集邮
wyqb 飹
wyub 食疗
wywb 何许人也
wybc 领取
wybc 集聚
wybg 餌
wybj 信阳
wybm 售出
wybm 飿
wybp 住院
wybr 隽
wybw 领队
wybw 依附
wybw 集训队
wb 他
wbay 戗
wbde 仍有
wbdh 仍不
wbdh 仍在
wbdm 创面
wbfd 仍需
wbfi 仍未
wbfj 创刊
wbg 仔
wbg 佴
wbgi 会聚一堂
wbgy 㺱
wbh 䢳
wbhj 仍旧
wbia 创汇
wbig 创举
wbj 创
wbjg 仍是
wbjh 创
wblg 他国
wblw 创办
wbmh 㑁
wbmq 创见
wbn 他
wbnh 创收
wbnn 㑙
wbnu 怹
wbog 创业
wboi 仍应
wbol 仓库
wbqd 仍然
wbqg 鸧
wbrm 创制
wbrq 他的
wbsa 保险柜
wbt 仍
wbtf 创造
wbtj 创利
wbts 保险箱
wbug 伴随着
wbuj 创意
wbus 创新
wbuu 创立
wbv 仓
wbvc 创始
wbvg 创建
wbwd 创优
wbwg 他俩
wbwk 仓促
wbwt 创作
wbwt 创伤
wbwu 他们
wbww 他人
wbwy 仓储
wbxj 保险费
wbxl 仔细
wbxt 他乡
wbyg 化险为夷
wbyu 他说
wbbh 倻
wbbb 㒤
xabg 縙
xdtb 绑
xdtb 綁
xebf 孧
xebg 綒
xfpb 綍
xgb 纯
xgbn 纯
xgbn 純
xhub 绯闻
xhbm 引出
xjmb 鄪
xjbc 繓
xkb 缉
xkbg 缉
xkbg 緝
xkbb 绳子
xlab 细节
xnbb 母子
xobd 继承
xpqb 綩
xqvb 约好
xqbt 縐
xrbj 绵阳
xrbt 緵
xtrb 鄕
xttb 引咎辞职
xtvb 郷
xtyb 鄉
xtb 绣
xtbi 缝隙
xtbn 终了
xtbn 絁
xtbn 㢮
xtbt 绣
xtbt 綉
xtbb 鄊
xudb 绻
xudb 綣
xubp 縌
xvab 绿荫
xvfb 绿地
xwbm 给出
xwbw 纵队
xxab 毕节
xxbu 纨绔子弟
xykb 弴
xykb 綧
xybw 编队
xbcl 䋼
xbcn 弛豫
xbcy 緅
xbft 继承者
xbg 弭
xbg 㝀
xbg 䋙
xbg 䌺
xbh 鄳
xbhc 弢
xbm 绌
xbmh 绌
xbmh 絀
xbn 弛
xbn 毑
xbn 䊶
xbsk 䋪
xbww 继承人
xbxm 维也纳
xbxn 㢽
xbbb 䌰
yarb 谎报
